status,category,primary_keyword,title,filename,intent
LAUNCH,SIP,what is sip in mutual funds,What Is SIP in Mutual Funds,what-is-sip-in-mutual-funds.html,informational
LAUNCH,SIP,how does sip work,How Does SIP Work,how-does-sip-work.html,informational
LAUNCH,SIP,sip meaning for beginners,SIP Meaning for Beginners,sip-meaning-for-beginners.html,informational
LAUNCH,SIP,how to start a sip,How to Start a SIP,how-to-start-a-sip.html,informational
LAUNCH,SIP,what is a monthly sip,What Is a Monthly SIP,what-is-a-monthly-sip.html,informational
LAUNCH,SIP,what is a weekly sip,What Is a Weekly SIP,what-is-a-weekly-sip.html,informational
LAUNCH,SIP,what is a daily sip,What Is a Daily SIP,what-is-a-daily-sip.html,informational
LAUNCH,SIP,what is step up sip,What Is Step Up SIP,what-is-step-up-sip.html,informational
LAUNCH,SIP,what is top up sip,What Is Top Up SIP,what-is-top-up-sip.html,informational
LAUNCH,SIP,what is perpetual sip,What Is Perpetual SIP,what-is-perpetual-sip.html,informational
LAUNCH,SIP,what is sip mandate,What Is SIP Mandate,what-is-sip-mandate.html,informational
LAUNCH,SIP,what is sip registration,What Is SIP Registration,what-is-sip-registration.html,informational
LAUNCH,SIP,what is sip date,What Is SIP Date,what-is-sip-date.html,informational
LAUNCH,SIP,how to choose a sip date,How to Choose a SIP Date,how-to-choose-a-sip-date.html,informational
LAUNCH,SIP,can i change my sip date,Can I Change My SIP Date,can-i-change-my-sip-date.html,informational
LAUNCH,SIP,can i change my sip amount,Can I Change My SIP Amount,can-i-change-my-sip-amount.html,informational
LAUNCH,SIP,can i increase my sip amount,Can I Increase My SIP Amount,can-i-increase-my-sip-amount.html,informational
LAUNCH,SIP,can i reduce my sip amount,Can I Reduce My SIP Amount,can-i-reduce-my-sip-amount.html,informational
LAUNCH,SIP,can i pause a sip,Can I Pause a SIP,can-i-pause-a-sip.html,informational
LAUNCH,SIP,can i stop sip anytime,Can I Stop SIP Anytime,can-i-stop-sip-anytime.html,informational
LAUNCH,SIP,what happens if i miss a sip,What Happens If I Miss a SIP,what-happens-if-i-miss-a-sip.html,informational
LAUNCH,SIP,what happens if sip payment fails,What Happens If SIP Payment Fails,what-happens-if-sip-payment-fails.html,informational
LAUNCH,SIP,can i restart a stopped sip,Can I Restart a Stopped SIP,can-i-restart-a-stopped-sip.html,informational
LAUNCH,SIP,can i have multiple sips,Can I Have Multiple SIPs,can-i-have-multiple-sips.html,informational
LAUNCH,SIP,can i start sip with rs 500,Can I Start SIP With Rs 500,can-i-start-sip-with-rs-500.html,informational
